series_id,year,periodName,value,date,category,price_usd,zcpi_value,zcpi_norm
CUUR0000SAF112,2025,July,344.155,2025-07,"Meats, poultry, fish, eggs",41.6092559750332,12.090266297172263,
CUUR0000SAF11,2025,August,314.608,2025-08,Food at home,38.78655964761816,12.328535716707192,
CUUR0000SAF112,2025,August,347.509,2025-08,"Meats, poultry, fish, eggs",38.78655964761816,11.161310828674411,
CUUR0000SAF111,2025,August,359.74,2025-08,Cereals and bakery,38.78655964761816,10.781831224667306,
CUUR0000SAF113,2025,August,356.104,2025-08,Dairy,38.78655964761816,10.891919115656709,
CUUR0000SAF116,2025,August,296.908,2025-08,Other food at home,38.78655964761816,13.063494297094778,
CUUR0000SAF115,2025,August,276.649,2025-08,Nonalcoholic beverages,38.78655964761816,14.020133688398715,
CUUR0000SAF114,2025,August,229.406,2025-08,Fruits and vegetables,38.78655964761816,16.907386749962146,
CUUR0000SAF113,2025,September,358.019,2025-09,Dairy,50.21043675178521,14.024517344550208,
CUUR0000SAF115,2025,September,277.71,2025-09,Nonalcoholic beverages,50.21043675178521,18.080168791827884,
CUUR0000SAF116,2025,September,297.507,2025-09,Other food at home,50.21043675178521,16.8770606243837,
CUUR0000SAF111,2025,September,361.894,2025-09,Cereals and bakery,50.21043675178521,13.874349050215036,
CUUR0000SAF112,2025,September,349.716,2025-09,"Meats, poultry, fish, eggs",50.21043675178521,14.357489148847982,
CUUR0000SAF114,2025,September,231.144,2025-09,Fruits and vegetables,50.21043675178521,21.722578458357216,
CUUR0000SAF11,2025,September,316.042,2025-09,Food at home,50.21043675178521,15.887267120124925,
